,symbol,profile
description,XLF,"The investment seeks investment results that, before expenses, correspond generally to the price and yield performance of publicly traded equity securities of companies in the Financial Select Sector Index.
 The fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: diversified financial services; insurance; banks; capital markets; mortgage real estate investment trusts (""REITs""); consumer finance; and thrifts and mortgage finance. The fund is non-diversified."
exchange,XLF,NYSE Arca
industry,XLF,
sector,XLF,
website,XLF,http://www.spdrs.com
ceo,AAPL,Timothy D. Cook
companyName,AAPL,Apple Inc.
description,AAPL,"Apple Inc is designs, manufactures and markets mobile communication and media devices and personal computers, and sells a variety of related software, services, accessories, networking solutions and third-party digital content and applications."
exchange,AAPL,Nasdaq Global Select
industry,AAPL,Computer Hardware
sector,AAPL,Technology
website,AAPL,http://www.apple.com
ceo,MSFT,Satya Nadella
companyName,MSFT,Microsoft Corporation
description,MSFT,"Microsoft Corp is a technology company. It develop, license, and support a wide range of software products and services. Its business is organized into three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing."
exchange,MSFT,Nasdaq Global Select
industry,MSFT,Application Software
sector,MSFT,Technology
website,MSFT,http://www.microsoft.com
ceo,SIRI,James E. Meyer
companyName,SIRI,Sirius XM Holdings Inc.
description,SIRI,"Sirius XM Holdings Inc is a radio company. It offers commercial-free music, sports and live events, news and comedy, exclusive talk and entertainment, and a range of Latin commercial-free music and sports."
exchange,SIRI,Nasdaq Global Select
industry,SIRI,Entertainment
sector,SIRI,Consumer Cyclical
website,SIRI,http://www.siriusxm.com
ceo,HPQ,Dion J. Weisler
companyName,HPQ,HP Inc.
description,HPQ,"HP Inc provides products, technologies, software, solutions and services to individual consumers, small- and medium-sized businesses including customers in the government, health and education sectors."
exchange,HPQ,New York Stock Exchange
industry,HPQ,Computer Hardware
sector,HPQ,Technology
website,HPQ,http://www.hp.com
ceo,CX,Fernando A. Gonzalez
companyName,CX,Cemex S.A.B. de C.V. Sponsored ADR
description,CX,"Cemex SAB de CV is engaged in the production, marketing, distribution and sale of cement, ready-mix concrete, aggregates and other construction materials."
exchange,CX,New York Stock Exchange
industry,CX,Building Materials
sector,CX,Basic Materials
website,CX,http://www.cemex.com
ceo,EFA,
companyName,EFA,iShares MSCI EAFE
description,EFA,"The investment seeks to track the investment results of the MSCI EAFE Index composed of large- and mid-capitalization developed market equities, excluding the U.S. and Canada.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The index measures the equity market performance of developed markets outside of the U.S. and Canada. The underlying index may include large- or mid-capitalization companies."
exchange,EFA,NYSE Arca
industry,EFA,
sector,EFA,
website,EFA,http://www.ishares.com
ceo,CZR,
companyName,CZR,Caesars Entertainment Corporation
description,CZR,"Caesars Entertainment Corp along is engaged in providing casino-entertainment and hospitality services. Its facilities include gaming offerings, food and beverage outlets, hotel and convention space, and non-gaming entertainment options."
exchange,CZR,Nasdaq Global Select
industry,CZR,Travel & Leisure
sector,CZR,Consumer Cyclical
website,CZR,http://www.caesars.com
ceo,QQQ,
companyName,QQQ,PowerShares QQQ Trust Series 1
description,QQQ,"The investment seeks investment results that generally correspond to the price and yield performance of the index.
 To maintain the correspondence between the composition and weights of the securities in the trust (the ""securities"") and the stocks in the NASDAQ-100 Index®, the adviser adjusts the securities from time to time to conform to periodic changes in the identity and/or relative weights of index securities. The composition and weighting of the securities portion of a portfolio deposit are also adjusted to conform to changes in the index."
exchange,QQQ,NASDAQ Global Market
industry,QQQ,
sector,QQQ,
website,QQQ,http://www.invescopowershares.com
ceo,F,James P. Hackett
companyName,F,Ford Motor Company
description,F,"Ford Motor Co manufactures, markets, and services Ford cars, trucks, sport utility vehicles, electronic vehicles, and Lincoln luxury vehicles. It also provides financial services through Ford Motor Credit Company."
exchange,F,New York Stock Exchange
industry,F,Autos
sector,F,Consumer Cyclical
website,F,http://www.ford.com
ceo,AMD,Lisa T. Su
companyName,AMD,Advanced Micro Devices Inc.
description,AMD,"Advanced Micro Devices Inc designs and produces microprocessors and low-power processor solutions for the computer, communications, and consumer electronics industries."
exchange,AMD,NASDAQ Capital Market
industry,AMD,Semiconductors
sector,AMD,Technology
website,AMD,http://www.amd.com
ceo,SNAP,Evan Spiegel
companyName,SNAP,Snap Inc. Class A
description,SNAP,"Snap Inc is a camera application developer. Its main product is Snapchat, a camera application created to help people communicate through short videos and images. It also offers Spectacles, which are camera-enabled sunglasses."
exchange,SNAP,New York Stock Exchange
industry,SNAP,Online Media
sector,SNAP,Technology
website,SNAP,http://www.snap.com
ceo,FB,Mark Zuckerberg
companyName,FB,Facebook Inc.
description,FB,"Facebook Inc is the world's largest online social network. Its products are Facebook, Instagram, Messenger, WhatsApp, and Oculus. Its products enable people to connect and share through mobile devices and personal computers."
exchange,FB,Nasdaq Global Select
industry,FB,Online Media
sector,FB,Technology
website,FB,http://www.facebook.com
ceo,WFC,Timothy Sloan
companyName,WFC,Wells Fargo & Company
description,WFC,Wells Fargo & Co operates as one of the largest banks in the United States. Its business operations are split into three segments: Community banking; Wholesale banking; and Wealth and Investment Management.
exchange,WFC,New York Stock Exchange
industry,WFC,Banks
sector,WFC,Financial Services
website,WFC,http://www.wellsfargo.com
ceo,AIG,Brian Duperreault
companyName,AIG,American International Group Inc.
description,AIG,"American International Group Inc is an insurance company. The company through its subsidiaries provides property casualty insurance, life insurance, retirement products, mortgage insurance and other financial services in the United States and abroad."
exchange,AIG,New York Stock Exchange
industry,AIG,Insurance
sector,AIG,Financial Services
website,AIG,http://www.aig.com
ceo,T,Randall L. Stephenson
companyName,T,AT&T Inc.
description,T,"AT&T Inc is engaged in provision of communications and digital entertainment services in the United States and the world. It provides fixed-line services, including voice, data, and television services to consumers and small businesses."
exchange,T,New York Stock Exchange
industry,T,Communication Services
sector,T,Communication Services
website,T,http://www.att.com
ceo,C,Michael L. Corbat
companyName,C,Citigroup Inc.
description,C,"Citigroup Inc is a financial-services company with business spanning more than 100 countries. Its core business is providing banking services, investment banking, cash management, and various other products and services."
exchange,C,New York Stock Exchange
industry,C,Banks
sector,C,Financial Services
website,C,http://www.citigroup.com
ceo,VALE,Murilo Pinto de Oliveira Ferreira
companyName,VALE,VALE S.A. American Depositary Shares Each Representing one
description,VALE,"Vale SA is a metals and mining company. It produces and supplies iron ore, iron ore pellets, nickel, manganese ore, ferroalloys, copper, coal, phosphates, potash, cobalt and others."
exchange,VALE,New York Stock Exchange
industry,VALE,Metals & Mining
sector,VALE,Basic Materials
website,VALE,http://www.vale.com
ceo,MS,James P. Gorman
companyName,MS,Morgan Stanley
description,MS,"Morgan Stanley is a global investment bank. The company has institutional securities, wealth-management, and asset-management segments."
exchange,MS,New York Stock Exchange
industry,MS,Brokers & Exchanges
sector,MS,Financial Services
website,MS,http://www.morganstanley.com
ceo,AKS,Roger K. Newport
companyName,AKS,AK Steel Holding Corporation
description,AKS,"AK Steel Holding Corp is engaged in manufacturing steel products such as flat-rolled, carbon, electrical, and stainless steel as well as tubular products for the automotive, construction, appliance, and machinery end markets."
exchange,AKS,New York Stock Exchange
industry,AKS,Steel
sector,AKS,Basic Materials
website,AKS,http://www.aksteel.com
ceo,JPM,James S. Dimon
companyName,JPM,JP Morgan Chase & Co.
description,JPM,"JPMorgan Chase & Co is a financial services firm and a banking institution. It is engaged in investment banking, commercial banking, treasury and securities services, asset management, retail financial services, and credit card businesses."
exchange,JPM,New York Stock Exchange
industry,JPM,Banks
sector,JPM,Financial Services
website,JPM,http://www.jpmorganchase.com
ceo,ORCL,Mark V. Hurd / Safra Ada Catz
companyName,ORCL,Oracle Corporation
description,ORCL,"Oracle Corp is a computer software company. It sells enterprise information technology solutions, including databases, middleware, applications, and hardware. The Company primarily offers software licenses, support, and maintenance services worldwide."
exchange,ORCL,New York Stock Exchange
industry,ORCL,Application Software
sector,ORCL,Technology
website,ORCL,http://www.oracle.com
ceo,NKE,
companyName,NKE,Nike Inc.
description,NKE,"Nike Inc designs, develops and markets footwear, apparel, equipment, and accessory products. It is a seller of athletic footwear and athletic apparel. It sells its products through NIKE-owned in-line and factory retail stores and internet websites."
exchange,NKE,New York Stock Exchange
industry,NKE,Manufacturing - Apparel & Furniture
sector,NKE,Consumer Cyclical
website,NKE,http://www.nike.com
ceo,VWO,
companyName,VWO,Vanguard FTSE Emerging Markets
description,VWO,"The investment seeks to track the performance of a benchmark index that measures the investment return of stocks issued by companies located in emerging market countries.
 The fund employs an indexing investment approach designed to track the performance of the FTSE Emerging Markets All Cap China A Inclusion Index, a market-capitalization-weighted index that is made up of approximately 4,032 common stocks of large-, mid-, and small-cap companies located in emerging markets around the world."
exchange,VWO,NYSE Arca
industry,VWO,
sector,VWO,
website,VWO,http://www.vanguard.com
ceo,PG,David S. Taylor
companyName,PG,Procter & Gamble Company (The)
description,PG,"Procter & Gamble Co is a consumer goods company. The firm markets its products internationally through various channels which include mass merchandisers, grocery stores, membership club stores, drug stores, and department stores."
exchange,PG,New York Stock Exchange
industry,PG,Consumer Packaged Goods
sector,PG,Consumer Defensive
website,PG,http://www.pg.com
ceo,FXI,
companyName,FXI,iShares China Large-Cap
description,FXI,"The investment seeks to track the investment results of the FTSE China 50 Index composed of large-capitalization Chinese equities that trade on the Hong Kong Stock Exchange.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The index is designed to track the performance of the largest companies in the Chinese equity market that trade on the Hong Kong Stock Exchange and are available to international investors, as determined by FTSE International Limited (the ""index provider"" or ""FTSE""). The fund is non-diversified."
exchange,FXI,NYSE Arca
industry,FXI,
sector,FXI,
website,FXI,http://www.ishares.com
ceo,IWM,
companyName,IWM,iShares Russell 2000
description,IWM,"The investment seeks to track the investment results of the Russell 2000® Index, which measures the performance of the small-capitalization sector of the U.S. equity market.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. It may invest the remainder of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index, but which the advisor believes will help the fund track the underlying index."
exchange,IWM,NYSE Arca
industry,IWM,
sector,IWM,
website,IWM,http://www.ishares.com
ceo,GSM,Pedro Larrea Paguaga
companyName,GSM,Ferroglobe PLC
description,GSM,"Ferroglobe PLC provides silicon and specialty metals. It produces silicon metal and silicon and manganese based alloy, serving customers in the specialty chemical, aluminum, solar, steel and ductile iron foundry industries."
exchange,GSM,Nasdaq Global Select
industry,GSM,Metals & Mining
sector,GSM,Basic Materials
website,GSM,
ceo,HK,Floyd C. Wilson
companyName,HK,Halcon Resources Corporation
description,HK,"Halcon Resources Corp is an independent oil and natural gas company. It is engaged in the acquisition, production, exploration and development of onshore liquids-rich oil and natural gas assets in the United States."
exchange,HK,New York Stock Exchange
industry,HK,Oil & Gas - E&P
sector,HK,Energy
website,HK,http://www.halconresources.com
ceo,BBD,Luiz Carlos Trabuco Cappi
companyName,BBD,Banco Bradesco Sa American Depositary Shares
description,BBD,"Bank Bradesco SA is one of the largest banks in Brazil. The bank provides services through a network of more than 4,700 locations offering insurance and banking facilities like deposits and loans to individuals and business corporations."
exchange,BBD,New York Stock Exchange
industry,BBD,Banks
sector,BBD,Financial Services
website,BBD,http://www.bradesco.com.br
ceo,PFE,Ian C. Read
companyName,PFE,Pfizer Inc.
description,PFE,"Pfizer Inc is a biopharmaceutical company that discovers, develops, manufactures, and markets healthcare products including medicines, and vaccines as well as many of the consumer healthcare products."
exchange,PFE,New York Stock Exchange
industry,PFE,Drug Manufacturers
sector,PFE,Healthcare
website,PFE,http://www.pfizer.com
ceo,JD,Qiangdong Richard Liu
companyName,JD,JD.com Inc.
description,JD,JD.com Inc is an online direct sales company in China. It acquires products from suppliers and sells them directly to its customers through its website and mobile applications.
exchange,JD,Nasdaq Global Select
industry,JD,Online Media
sector,JD,Technology
website,JD,http://www.jd.com
ceo,NOK,Rajeev Suri
companyName,NOK,Nokia Corporation Sponsored American Depositary Shares
description,NOK,"Nokia Oyj is a telecommunication company. It develops network equipment to transmit data over wireless, copper, optical fiber, and microwave mediums. Its products are used by the world's largest telecommunication service providers."
exchange,NOK,New York Stock Exchange
industry,NOK,Communication Equipment
sector,NOK,Technology
website,NOK,http://www.nokia.com
ceo,TWTR,Jack Dorsey
companyName,TWTR,Twitter Inc.
description,TWTR,"Twitter Inc is a social networking platform for public self-expression and conversation in real time. Its services are live, which includes live commentary, live connections, and live conversations. It generates a majority of its revenue from advertising."
exchange,TWTR,New York Stock Exchange
industry,TWTR,Online Media
sector,TWTR,Technology
website,TWTR,https://www.twitter.com
ceo,AMLP,
companyName,AMLP,Alerian MLP
description,AMLP,"The investment seeks total return, with an emphasis on income as the source of that total return.
 The fund seeks to achieve its investment objective by investing in a global portfolio of fixed income securities of various maturities, ratings and currency denominations. The adviser intends to utilize various investment strategies in a broad array of fixed income sectors. The fund may purchase fixed income securities issued by U.S. or foreign corporations or financial institutions, including debt securities of all types and maturities, convertible securities and preferred stocks. It is non-diversified."
exchange,AMLP,NYSE Arca
industry,AMLP,
sector,AMLP,
website,AMLP,http://www.alpsfunds.com
ceo,AVGO,Hock E. Tan
companyName,AVGO,Broadcom Limited
description,AVGO,"Broadcom Ltd is engaged in designing, developing and supplying analog and digital semiconductor connectivity solutions. Its product portfolio serves wired infrastructure, wireless communications, enterprise storage and industrial and other end markets."
exchange,AVGO,Nasdaq Global Select
industry,AVGO,Semiconductors
sector,AVGO,Technology
website,AVGO,http://www.broadcom.com
ceo,AMAT,Gary E. Dickerson
companyName,AMAT,Applied Materials Inc.
description,AMAT,"Applied Materials Inc is a supplier of semiconductor manufacturing equipment. It provides manufacturing equipment, services and software to the semiconductor, flat panel display, solar photovoltaic and related industries."
exchange,AMAT,Nasdaq Global Select
industry,AMAT,Semiconductors
sector,AMAT,Technology
website,AMAT,http://www.appliedmaterials.com
ceo,WFT,Mark A. Mccollum
companyName,WFT,Weatherford International plc (Ireland)
description,WFT,"Weatherford International PLC together with its subsidiaries is a multinational oilfield service company. The company provides equipment and services used in the drilling, evaluation, completion, production and intervention of oil and natural gas wells."
exchange,WFT,New York Stock Exchange
industry,WFT,Oil & Gas - Services
sector,WFT,Energy
website,WFT,http://www.weatherford.com
ceo,UVXY,
companyName,UVXY,ProShares Trust Ultra VIX Short Term Futures
description,UVXY,"The investment seeks results (before fees and expenses) that correspond to one and one-half times (1.5x) of the performance of the S&P 500 VIX Short-Term Futures Index for a single day.
 The index seeks to offer exposure to market volatility through publicly traded futures markets and is designed to measure the return from a rolling long position in the first and second month VIX futures contracts."
exchange,UVXY,NYSE Arca
industry,UVXY,
sector,UVXY,
website,UVXY,http://www.proshares.com
ceo,DWDP,Edward D. Breen
companyName,DWDP,DowDuPont Inc.
description,DWDP,"DowDuPont Inc is jointly owned by Dow and DuPont for the purpose of forming publicly traded companies in the agriculture, materials science and specialty products sectors."
exchange,DWDP,New York Stock Exchange
industry,DWDP,Chemicals
sector,DWDP,Basic Materials
website,DWDP,http://www.dow-dupont.com
ceo,VXX,
companyName,VXX,iPath S&P 500 VIX Short Term Futures TM ETN
description,VXX,"The investment seeks to provide investors with exposure to the S&P 500 VIX Short-Term Futures¿ Index Total Return. 
The S&P 500 VIX Short-Term Futures¿ Index Total Return (the ""index"") is designed to provide access to equity market volatility through CBOE Volatility Index® futures. The index offers exposure to a daily rolling long position in the first and second month VIX futures contracts and reflects the implied volatility of the S&P 500® at various points along the volatility forward curve."
exchange,VXX,NYSE Arca
industry,VXX,
sector,VXX,
website,VXX,http://www.barclaysinvestments.co.uk
ceo,VEA,
companyName,VEA,Vanguard FTSE Developed Markets
description,VEA,"The investment seeks to track the performance of the FTSE Developed All Cap ex US Index.
 The fund employs an indexing investment approach designed to track the performance of the FTSE Developed All Cap ex US Index, a market-capitalization-weighted index that is made up of approximately 3,700 common stocks of large-, mid-, and small-cap companies located in Canada and the major markets of Europe and the Pacific region. The adviser attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
exchange,VEA,NYSE Arca
industry,VEA,
sector,VEA,
website,VEA,http://www.vanguard.com
ceo,ZNGA,Frank Gibeau
companyName,ZNGA,Zynga Inc.
description,ZNGA,"Zynga Inc is engaged in developing, marketing, and operating social games. Its games include FarmVille, Zynga Poker, and Words With Friends that are played on various platforms such as mobile, desktop, and social networking sites."
exchange,ZNGA,Nasdaq Global Select
industry,ZNGA,Application Software
sector,ZNGA,Technology
website,ZNGA,http://www.zynga.com
ceo,XOM,Darren W. Woods
companyName,XOM,Exxon Mobil Corporation
description,XOM,"Exxon Mobil Corp is an integrated oil and gas company. It is engaged in exploration for, and production of, crude oil and natural gas. It is also engaged in manufacturing, transportation and sale of crude oil, natural gas and petroleum products."
exchange,XOM,New York Stock Exchange
industry,XOM,Oil & Gas - Integrated
sector,XOM,Energy
website,XOM,http://www.corporate.exxonmobil.com
ceo,QCOM,Steven M. Mollenkopf
companyName,QCOM,QUALCOMM Incorporated
description,QCOM,"Qualcomm Inc develops and licenses wireless technology. It also engages in designing chips for mobile phones. The company is also the world's largest wireless chip vendor, supplying many premier handset makers with leading-edge processors."
exchange,QCOM,Nasdaq Global Select
industry,QCOM,Semiconductors
sector,QCOM,Technology
website,QCOM,http://www.qualcomm.com
ceo,TVIX,
companyName,TVIX,VelocityShares Daily 2x VIX Short Term ETN
description,TVIX,"The investment seeks to replicate, net of expenses, the returns of twice (2x) the daily performance of the S&P 500 VIX Short-Term Futures index.
 The index was designed to provide investors with exposure to one or more maturities of futures contracts on the VIX, which reflects implied volatility of the S&P 500 Index at various points along the volatility forward curve. The ETNs are linked to a multiple (2x) of the daily return of the index and do not represent an investment in the VIX."
exchange,TVIX,NASDAQ Global Market
industry,TVIX,
sector,TVIX,
website,TVIX,http://www.credit-suisse.com
ceo,VIPS,Ya Eric Shen
companyName,VIPS,Vipshop Holdings Limited American Depositary Shares each representing two
description,VIPS,"Vipshop Holdings Ltd is an online discount retailer for brands in China. The company offers branded products to consumers in China through flash sales on its vipshop.com, vip.com and lefeng.com websites."
exchange,VIPS,New York Stock Exchange
industry,VIPS,Retail - Defensive
sector,VIPS,Consumer Defensive
website,VIPS,http://www.vip.com
ceo,GLD,
companyName,GLD,SPDR Gold Trust
description,GLD,"The investment seeks to reflect the performance of the price of gold bullion, less the expenses of the Trust¿s operations.
 The Trust holds gold bars and from time to time, issues Baskets in exchange for deposits of gold and distributes gold in connection with redemptions of Baskets. The investment objective of the Trust is for the Shares to reflect the performance of the price of gold bullion, less the Trust¿s expenses. The Sponsor believes that, for many investors, the Shares represent a cost-effective investment in gold."
exchange,GLD,NYSE Arca
industry,GLD,
sector,GLD,
website,GLD,http://www.spdrs.com
ceo,CSCO,Charles Robbins
companyName,CSCO,Cisco Systems Inc.
description,CSCO,"Cisco Systems Inc is a supplier of data networking equipment and software. Its products include routers, switches, access equipment, and security and network management software which allow data communication among dispersed computer networks."
exchange,CSCO,Nasdaq Global Select
industry,CSCO,Communication Equipment
sector,CSCO,Technology
website,CSCO,http://www.cisco.com
ceo,AXP,Stephen J. Squeri
companyName,AXP,American Express Company
description,AXP,"American Express Co is a payments, network and travel company. It provides charge and credit card products, travel services, network services, stored value products, loans, and other products and services to businesses and individuals."
exchange,AXP,New York Stock Exchange
industry,AXP,Credit Services
sector,AXP,Financial Services
website,AXP,http://www.americanexpress.com
ceo,BMY,Giovanni Caforio
companyName,BMY,Bristol-Myers Squibb Company
description,BMY,"Bristol-Myers Squibb Co is engaged in discovery, development, licensing, manufacturing, marketing, distribution and sale of biopharmaceuticals products. The company operates in one segment that is Biopharmaceuticals."
exchange,BMY,New York Stock Exchange
industry,BMY,Drug Manufacturers
sector,BMY,Healthcare
website,BMY,http://www.bms.com
ceo,V,Alfred F. Kelly
companyName,V,Visa Inc.
description,V,"Visa Inc is a payments technology company working to enable consumers, businesses, banks and governments to use fast, secure and reliable digital currency. The Company operates processing networks - VisaNet."
exchange,V,New York Stock Exchange
industry,V,Credit Services
sector,V,Financial Services
website,V,http://www.corporate.visa.com
ceo,USO,
companyName,USO,United States Oil Fund
description,USO,"The investment seeks the daily changes in percentage terms of its shares¿ per share net asset value (¿NAV¿) to reflect the daily changes in percentage terms of the spot price of light, sweet crude oil delivered to Cushing, Oklahoma, as measured by the daily changes in the price of a specified short-term futures contract on light, sweet crude oil called the ¿Benchmark Oil Futures Contract,¿ less USO¿s expenses.
 USO seeks to achieve its investment objective by investing primarily in futures contracts for light, sweet crude oil, other types of crude oil, diesel-heating oil, gasoline, natural gas, and other petroleum-based fuels."
exchange,USO,NYSE Arca
industry,USO,
sector,USO,
website,USO,http://www.unitedstatesoilfund.com
ceo,GRPN,Rich Williams
companyName,GRPN,Groupon Inc.
description,GRPN,Groupon Inc offers marketing services by selling vouchers through online local marketplaces that can be redeemed for goods or services with third-party merchants. The company's segments include North America and International.
exchange,GRPN,Nasdaq Global Select
industry,GRPN,Online Media
sector,GRPN,Technology
website,GRPN,http://www.groupon.com
ceo,WP,Philip Jansen / Charles D. Drucker
companyName,WP,Worldpay Inc. Class A
description,WP,"Worldpay Inc is a payment processing company that provides integrated technology platform. It offers suite of payment processing services through a single provider, including e-commerce and mobile devices."
exchange,WP,New York Stock Exchange
industry,WP,Business Services
sector,WP,Industrials
website,WP,http://www.worldpay.com
ceo,OIH,
companyName,OIH,VanEck Vectors Oil Services
description,OIH,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVISä US Listed Oil Services 25 Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes common stocks and depositary receipts of U.S. exchange-listed companies in the oil services sector. Such companies may include small- and medium-capitalization companies and foreign companies that are listed on a U.S. exchange. The fund is non-diversified."
exchange,OIH,NYSE Arca
industry,OIH,
sector,OIH,
website,OIH,http://www.marketvectorsetfs.com
ceo,GERN,John A. Scarlett
companyName,GERN,Geron Corporation
description,GERN,"Geron Corp is a biopharmaceutical company. It supports the clinical stage development of a telomerase inhibitor, imetelstat."
exchange,GERN,Nasdaq Global Select
industry,GERN,Biotechnology
sector,GERN,Healthcare
website,GERN,http://www.geron.com
ceo,KEY,Beth E. Mooney
companyName,KEY,KeyCorp
description,KEY,"KeyCorp is present in the financial service domain. Its core revenue is derived from the provision of retail and commercial banking, investment management and consumer finance services."
exchange,KEY,New York Stock Exchange
industry,KEY,Banks
sector,KEY,Financial Services
website,KEY,http://www.key.com
ceo,RF,O. B. Grayson Hall
companyName,RF,Regions Financial Corporation
description,RF,"Regions Financial Corp is a regional bank headquartered in Alabama, with branches primarily in the southeastern and midwestern United States. It provides banking and bank-related services to individual and corporate customers."
exchange,RF,New York Stock Exchange
industry,RF,Banks
sector,RF,Financial Services
website,RF,http://www.regions.com
ceo,KR,W. Rodney Mcmullen
companyName,KR,Kroger Company (The)
description,KR,"The Kroger Co operates grocery stores. Its coverage includes retail food and drug stores, multi-department stores, jewelry stores and convenience stores."
exchange,KR,New York Stock Exchange
industry,KR,Retail - Defensive
sector,KR,Consumer Defensive
website,KR,http://www.kroger.com
ceo,HAL,Jeffrey A. Miller
companyName,HAL,Halliburton Company
description,HAL,"Halliburton Co is a provider of services and products to the upstream oil and natural gas industry throughout the lifecycle of the reservoir, from locating hydrocarbons and managing geological data, to drilling and formation evaluation."
exchange,HAL,New York Stock Exchange
industry,HAL,Oil & Gas - Services
sector,HAL,Energy
website,HAL,http://www.halliburton.com
ceo,BABA,Yong Daniel Zhang
companyName,BABA,Alibaba Group Holding Limited
description,BABA,"Alibaba Group Holding Ltd is an online and mobile commerce company. It operates China's most popular online marketplaces such as Taobao (C2C), Tmall (B2C), and Juhuasuan. It also engages in advertising, digital media, cloud computing, and other."
exchange,BABA,New York Stock Exchange
industry,BABA,Retail - Apparel & Specialty
sector,BABA,Consumer Cyclical
website,BABA,http://www.alibabagroup.com
ceo,MRO,Lee M. Tillman
companyName,MRO,Marathon Oil Corporation
description,MRO,"Marathon Oil Corp is an exploration and production company. It focuses on producing crude oil and condensate, natural gas liquids and natural gas as well as bitumen from oil sands deposits."
exchange,MRO,New York Stock Exchange
industry,MRO,Oil & Gas - E&P
sector,MRO,Energy
website,MRO,http://www.marathonoil.com
ceo,CLNS,Richard B. Saltzman
companyName,CLNS,Colony NorthStar Inc.
